Company,Phone,Website,Street,City,State,Zip,Industry,Primary Pitch,Core Service Bundle,MSP-Interim Wedges
"HK Surgical, Inc.",949-369-0101,http://www.hksurgical.com,1271 Puerta del Sol,San Clemente,California,92673,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Labroots,714-463-4673,http://www.labroots.com,18340 Yorba Linda Boulevard,Yorba Linda,California,92886,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
FOODEEZ,323-213-4489,http://www.foodeez.la,155 West Washington Boulevard,Los Angeles,California,90015,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Jewish Big Brothers Big Sisters of Los Angeles,323-761-8675,http://www.jbbbsla.org,11150 W Olympic Blvd,Los Angeles,California,90064-1815,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Apex Lead Media,323-522-5850,http://www.apexleadmedia.com,3877 Grand View Blvd,Los Angeles,California,90066,Marketing & Media,Creative-studio IT + M365 + Adobe CC + render/storage,My IT · My Cloud · My Office · My Security · My SEO,My AI Lead Gen — agency prospect gen from public business signals | Chat.AI — creative-brief and copy AI (private; no client-IP training) | My AI — content production pipeline automation | My SEO — agency's own SEO (practice what you preach) | My Dev — custom creative ops tooling / CMS integrations
Insurance Journal,800-897-9965,http://www.insurancejournal.com,3570 Camino del Rio N,San Diego,California,92108-1716,Financial Services,Compliance-aware managed IT + 3CX + documented audit trail,My IT · My Security · My Compliance (SOC 2 / PCI) · My Continuity · My Office,"My Compliance — SOC 2 Type II readiness assessment | My Security — quarterly pen test with reporting (SEC/FINRA ready) | Chat.AI — private AI for advisor workflows (Reg-BI friendly, never trains on client data) | My AI — AI assistant for underwriting, claims, loan processing | Nexus Assess Pulse — cyber-insurance renewal-ready vuln report"
Naturescape Landscape Company,858-794-8444,http://www.naturescapelandscape.com,314 Chapalita Dr,Encinitas,California,92024-4807,Construction,Jobsite + HQ managed IT + CrowdStrike endpoint + datacenter migration,My IT · My Security · My Continuity · My Cloud · My Office,"Nexus Assess Pulse — cyber-insurance renewal + GC security questionnaire evidence | My AI Lead Gen — AI-driven construction lead gen from permits, DRB agendas, HOA filings (3-6 mo earlier than competitors) | My AI — project-management automation, RFI/submittal triage, estimating assist | My Cloud — hosted datacenter + Azure AD hybrid (retire aging on-prem servers) | My Compliance — CMMC-aware posture for federal/defense-adjacent work"
Avantis Investors,833-928-2684,http://www.avantisinvestors.com,,Los Angeles,California,,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
"Land Mark Electric, Inc.",818-883-5110,http://www.lmela.com,7876 Deering Ave,Los Angeles,California,91304,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Cycle Link International,909-861-5888,http://www.cyclelink.com,1520 Bridge Gate Dr,Diamond Bar,California,91765-3912,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Amphenol CDI,562-498-0901,http://www.amphenolcdi.com,12900 Alondra Blvd,Cerritos,California,90703,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
American New Logistics,626-225-8083,http://www.americannewlogistic.com,2440 S Milliken Ave,Ontario,California,91761,Logistics & Transport,Fleet / dispatch IT + VoIP + hosted infrastructure,My IT · My Sip · My Cloud · My Security · My Continuity,"My AI — route optimization, demand forecasting, predictive ETA | My Dev — TMS / dispatch integrations, EDI automation | Chat.AI — private AI for ops / dispatch playbook automation | Nexus Assess Pulse — cyber-insurance-ready vuln report | My AI Lead Gen — shipper / broker lead gen from public trade data"
Hispanic Heritage Foundation,202-861-9797,http://www.hispanicheritage.org,333 S Grand Ave,Los Angeles,California,90071,Non-Profit,M365 Nonprofit + mailbox migration + B2B partner collaboration,My Office · My IT · My Security · My Continuity · My Compliance,"My Office — mailbox migration off reseller-hosted O365 + B2B cross-tenant setup with partner agencies | Chat.AI — donor-communication AI (private, grant-reporting-safe) | My AI — grant-writing, impact-report automation, donor segmentation | My SEO — donation-page conversion optimization + SEO for cause awareness | My Compliance — HIPAA (for health non-profits), FERPA (for education), donor-PII review"
Technijian USA,(949) 379-8499,technijian.com,"18 Technology Drive, #141",,,,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Core Staffing Solutions,888-609-8161,http://www.corestaffingsolutions.com,14779 Carmenita Rd,Norwalk,California,90650,Technology & AI,SOC 2 readiness + DevOps + IT ops for tech SMBs,My Compliance (SOC 2) · My Security · My IT · My Dev · My Cloud,"My Compliance — SOC 2 Type II program (often the blocker for enterprise deals) | My Security — SaaS security review + pen test | My Dev — SDLC v7.0 AI-assisted dev acceleration (3-5× faster delivery) | Chat.AI — internal team AI (private, IP-safe; never trains on code) | Nexus Assess Pulse — continuous vuln intelligence"
Meadows Mechanical,310-615-1125,,333 Crown Vista Dr,Gardena,California,90248,Automotive,Dealership IT + DMS integration + compliance,My IT · My Security · My Compliance · My Office · My Continuity,"My Compliance — Safeguards Rule (GLBA) program for auto dealers | My AI — service-advisor automation, inventory pricing AI, lead-scoring | Chat.AI — private AI for sales / service workflows | My SEO — local dealer SEO + review management | My AI Lead Gen — local auto-service lead gen from public signals"
"Judge Netting, Inc.",800-955-6788,http://www.judgenetting.com,11851 Westminster Ave,Garden Grove,California,92843-3924,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Aloha Freight Forwarders,310-631-6116,http://www.alohafreight.com,1800 S Anderson Ave,Compton,California,90220,Logistics & Transport,Fleet / dispatch IT + VoIP + hosted infrastructure,My IT · My Sip · My Cloud · My Security · My Continuity,"My AI — route optimization, demand forecasting, predictive ETA | My Dev — TMS / dispatch integrations, EDI automation | Chat.AI — private AI for ops / dispatch playbook automation | Nexus Assess Pulse — cyber-insurance-ready vuln report | My AI Lead Gen — shipper / broker lead gen from public trade data"
Hinojosa & Forer LLP,310-473-7000,http://www.hinojosaforer.com,2215 Colby Ave,Los Angeles,California,90064,Legal,M365 + secure file management + privileged-communications protection,My Office · My Security · My IT · My Compliance · My Continuity,"Chat.AI — private AI for legal research, drafting, and doc review (attorney-client privilege preserved; no training on firm data) | My AI — legal workflow automation (intake triage, matter summarization, e-discovery) | My Compliance — client-data protection review (state bar, HIPAA for med-mal, PCI for retainer processing) | My Security — email security + BEC wire-fraud prevention (top legal-sector risk) | Nexus Assess Pulse — pen test for cyber insurance"
BANA LAW,310-273-7300,http://www.banalaw.com,1875 Century Park E,Los Angeles,California,90067-2253,Legal,M365 + secure file management + privileged-communications protection,My Office · My Security · My IT · My Compliance · My Continuity,"Chat.AI — private AI for legal research, drafting, and doc review (attorney-client privilege preserved; no training on firm data) | My AI — legal workflow automation (intake triage, matter summarization, e-discovery) | My Compliance — client-data protection review (state bar, HIPAA for med-mal, PCI for retainer processing) | My Security — email security + BEC wire-fraud prevention (top legal-sector risk) | Nexus Assess Pulse — pen test for cyber insurance"
California CASA Association,510-663-8440,http://www.californiacasa.org,3525 Del Mar Heights Rd,San Diego,California,92130-2122,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Bet Tzedek Legal Services,323-939-0506,http://www.bettzedek.org,3250 Wilshire Blvd,Los Angeles,California,90010,Legal,M365 + secure file management + privileged-communications protection,My Office · My Security · My IT · My Compliance · My Continuity,"Chat.AI — private AI for legal research, drafting, and doc review (attorney-client privilege preserved; no training on firm data) | My AI — legal workflow automation (intake triage, matter summarization, e-discovery) | My Compliance — client-data protection review (state bar, HIPAA for med-mal, PCI for retainer processing) | My Security — email security + BEC wire-fraud prevention (top legal-sector risk) | Nexus Assess Pulse — pen test for cyber insurance"
Habitat for Humanity of Greater Los Angeles,310-323-4663,http://www.habitatla.org,8739 Artesia Boulevard,Bellflower,California,90706,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
"Hurst International, LLC.",800-969-1705,http://www.hurstinternational.net,20747 Dearborn St,Los Angeles,California,91311,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
ITP Strategic,310-323-9865,http://www.itpstrategic.com,21151 S Western Ave,Torrance,California,90501-1724,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Janney & Janney Legal Support Service,213-628-6338,http://www.janneyandjanney.com,1545 Wilshire Blvd,Los Angeles,California,90017,Legal,M365 + secure file management + privileged-communications protection,My Office · My Security · My IT · My Compliance · My Continuity,"Chat.AI — private AI for legal research, drafting, and doc review (attorney-client privilege preserved; no training on firm data) | My AI — legal workflow automation (intake triage, matter summarization, e-discovery) | My Compliance — client-data protection review (state bar, HIPAA for med-mal, PCI for retainer processing) | My Security — email security + BEC wire-fraud prevention (top legal-sector risk) | Nexus Assess Pulse — pen test for cyber insurance"
B&W LLC,714-559-3454,http://www.bwllco.com,1550 S Sunkist St,Anaheim,California,92806-5806,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
FLAG Solutions LLC,562-242-7655,http://www.flag-solutions.com,110 E Wilshire Ave,Fullerton,California,92832-1900,Technology & AI,SOC 2 readiness + DevOps + IT ops for tech SMBs,My Compliance (SOC 2) · My Security · My IT · My Dev · My Cloud,"My Compliance — SOC 2 Type II program (often the blocker for enterprise deals) | My Security — SaaS security review + pen test | My Dev — SDLC v7.0 AI-assisted dev acceleration (3-5× faster delivery) | Chat.AI — internal team AI (private, IP-safe; never trains on code) | Nexus Assess Pulse — continuous vuln intelligence"
"Automatic Appointments, Inc.",702-800-7445,http://www.automaticappointments.com,1158 26th St,Santa Monica,California,90403,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Mc Dental,323-664-3400,http://www.macdentalla.com,,Los Angeles,California,,Healthcare,HIPAA-ready managed IT + 3CX telephony platform ops,My IT · My Security · My Compliance (HIPAA) · My Office (M365) · My Continuity,"My Compliance — HIPAA Technical-Safeguards audit (run alongside their MSP) | Chat.AI — private-tenant AI that does NOT train on patient data (PHI-safe) | My AI — AI strategy session: where AI helps scheduling, auth, intake without touching PHI | Nexus Assess Pulse — external vulnerability + pen-test report for cyber insurance renewal | My AI Lead Gen — patient-acquisition lead gen from public data (not PHI)"
DNA Search,818-986-6300,http://www.dnasrch.com,6934 Canby Ave,Los Angeles,California,91335,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Endoscopy Superstore,818-340-3433,http://www.endoscopysuperstore.com,22134 Sherman Way,Los Angeles,California,91303,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
MATRIX SURFACES INC,714-696-5449,http://www.matrixsurfaces.com,5449 E La Palma Ave,Anaheim,California,92807,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Linden Oaks,714-821-3620,,8699 Holder Street,Buena Park,California,90620,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Crave Dessert Company,310-306-6500,http://www.cravedessertcompany.com,,Los Angeles,California,,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
22 West Media,562-985-5140,http://www.22westmedia.com,1250 N Bellflower Blvd,Long Beach,California,90815,Marketing & Media,Creative-studio IT + M365 + Adobe CC + render/storage,My IT · My Cloud · My Office · My Security · My SEO,My AI Lead Gen — agency prospect gen from public business signals | Chat.AI — creative-brief and copy AI (private; no client-IP training) | My AI — content production pipeline automation | My SEO — agency's own SEO (practice what you preach) | My Dev — custom creative ops tooling / CMS integrations
KORE1,949-706-6990,http://www.kore1.com,530 Technology Dr,Irvine,California,92618-1349,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
"DOLPHIN LOGISTICS, INC.",626-934-8886,http://www.dolphin-usa.com,1944 E Vista Bella Way,Compton,California,90220-6107,Logistics & Transport,Fleet / dispatch IT + VoIP + hosted infrastructure,My IT · My Sip · My Cloud · My Security · My Continuity,"My AI — route optimization, demand forecasting, predictive ETA | My Dev — TMS / dispatch integrations, EDI automation | Chat.AI — private AI for ops / dispatch playbook automation | Nexus Assess Pulse — cyber-insurance-ready vuln report | My AI Lead Gen — shipper / broker lead gen from public trade data"
Business Data Inc.,855-234-2255,http://www.businessdatainc.com,1060 E Fairview Blvd,Inglewood,California,90302-1429,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
"DebtWave Credit Counseling, Inc.",888-686-4040,http://www.debtwave.org,1835a S Centre City Pkwy,Escondido,California,92025-6525,Financial Services,Compliance-aware managed IT + 3CX + documented audit trail,My IT · My Security · My Compliance (SOC 2 / PCI) · My Continuity · My Office,"My Compliance — SOC 2 Type II readiness assessment | My Security — quarterly pen test with reporting (SEC/FINRA ready) | Chat.AI — private AI for advisor workflows (Reg-BI friendly, never trains on client data) | My AI — AI assistant for underwriting, claims, loan processing | Nexus Assess Pulse — cyber-insurance renewal-ready vuln report"
Affinity Development Group,858-643-9324,http://www.affinitydev.com,10590 W Ocean Air Dr,San Diego,California,92130-4677,Professional Services,Managed M365 + secure file collaboration + client-data protection,My Office · My IT · My Security · My Compliance · My Continuity,"Chat.AI — private AI for client-facing teams (confidentiality-safe) | My AI — proposal generation, research automation, client-brief drafting | My Compliance — client-data handling review (often driven by client security questionnaires) | My AI Lead Gen — B2B services prospecting from public signals | My Dev — custom client portals / client-ops tooling"
Netlist,949-435-0025,http://www.netlist.com,175 Technology Drive,Irvine,California,92618,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Contractors Cargo Co.,310-609-1957,http://www.contractorscargo.com,500 S Alameda St,Compton,California,90221,Construction,Jobsite + HQ managed IT + CrowdStrike endpoint + datacenter migration,My IT · My Security · My Continuity · My Cloud · My Office,"Nexus Assess Pulse — cyber-insurance renewal + GC security questionnaire evidence | My AI Lead Gen — AI-driven construction lead gen from permits, DRB agendas, HOA filings (3-6 mo earlier than competitors) | My AI — project-management automation, RFI/submittal triage, estimating assist | My Cloud — hosted datacenter + Azure AD hybrid (retire aging on-prem servers) | My Compliance — CMMC-aware posture for federal/defense-adjacent work"
"Litigation Adjusters, Inc.",714-960-1222,http://www.litigationadjusters.com,2134 Main St,Huntington Beach,California,92648-2402,Legal,M365 + secure file management + privileged-communications protection,My Office · My Security · My IT · My Compliance · My Continuity,"Chat.AI — private AI for legal research, drafting, and doc review (attorney-client privilege preserved; no training on firm data) | My AI — legal workflow automation (intake triage, matter summarization, e-discovery) | My Compliance — client-data protection review (state bar, HIPAA for med-mal, PCI for retainer processing) | My Security — email security + BEC wire-fraud prevention (top legal-sector risk) | Nexus Assess Pulse — pen test for cyber insurance"
IE Construction,888-839-2937,http://www.ieconstruction.com,9452 Resenda Ave,Fontana,California,92335-2541,Construction,Jobsite + HQ managed IT + CrowdStrike endpoint + datacenter migration,My IT · My Security · My Continuity · My Cloud · My Office,"Nexus Assess Pulse — cyber-insurance renewal + GC security questionnaire evidence | My AI Lead Gen — AI-driven construction lead gen from permits, DRB agendas, HOA filings (3-6 mo earlier than competitors) | My AI — project-management automation, RFI/submittal triage, estimating assist | My Cloud — hosted datacenter + Azure AD hybrid (retire aging on-prem servers) | My Compliance — CMMC-aware posture for federal/defense-adjacent work"
Ehrlich Yanai Rhee Chaney Architects (EYRC),310-838-9700,http://www.eyrc.com,10865 Washington Blvd,Culver City,California,90232,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
BeyondTek IT,714-572-1544,http://www.beyondtekit.com,1057 East Imperial Highway,Placentia,California,92870,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
A-Light Architectural Lighting,760-727-7675,http://www.alights.com,3728 Maritime Way,Oceanside,California,92056,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
d2H Partners,213-784-0401,http://www.d2hispanic.com,316 W 2nd St,Los Angeles,California,90012-3504,Professional Services,Managed M365 + secure file collaboration + client-data protection,My Office · My IT · My Security · My Compliance · My Continuity,"Chat.AI — private AI for client-facing teams (confidentiality-safe) | My AI — proposal generation, research automation, client-brief drafting | My Compliance — client-data handling review (often driven by client security questionnaires) | My AI Lead Gen — B2B services prospecting from public signals | My Dev — custom client portals / client-ops tooling"
MAGIC Fund,443-418-5603,http://www.magic.fund,N Detroit St,Los Angeles,California,90046,Financial Services,Compliance-aware managed IT + 3CX + documented audit trail,My IT · My Security · My Compliance (SOC 2 / PCI) · My Continuity · My Office,"My Compliance — SOC 2 Type II readiness assessment | My Security — quarterly pen test with reporting (SEC/FINRA ready) | Chat.AI — private AI for advisor workflows (Reg-BI friendly, never trains on client data) | My AI — AI assistant for underwriting, claims, loan processing | Nexus Assess Pulse — cyber-insurance renewal-ready vuln report"
Charts + Darts,323-522-5088,http://www.chartsanddarts.com,,Long Beach,California,,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
KLASSEN CUSTOM FAB INC,519-737-6631,http://www.klassenfab.com,5631 Ferguson Drive,Commerce,California,90022,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Almex USA Inc.,800-528-0557,http://www.almexusa.com,6925 Aragon Cir,Buena Park,California,90620,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
DORDICK LAW CORPORATION,800-555-5595,http://www.dordicklaw.com,509 S Beverly Dr,Beverly Hills,California,90212,Legal,M365 + secure file management + privileged-communications protection,My Office · My Security · My IT · My Compliance · My Continuity,"Chat.AI — private AI for legal research, drafting, and doc review (attorney-client privilege preserved; no training on firm data) | My AI — legal workflow automation (intake triage, matter summarization, e-discovery) | My Compliance — client-data protection review (state bar, HIPAA for med-mal, PCI for retainer processing) | My Security — email security + BEC wire-fraud prevention (top legal-sector risk) | Nexus Assess Pulse — pen test for cyber insurance"
"FemtoMetrix, Inc.",949-534-2893,http://www.femtometrix.com,9267 Research Dr,Irvine,California,92618,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
1517,507-275-3668,http://www.1517.org,244 Avenida Victoria,San Clemente,California,92672-4155,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
"Culinary Specialties, Inc.",760-744-8220,http://www.culinaryspecialties.net,1231 Linda Vista Dr,San Marcos,California,92078,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Los Angeles Loyolan,310-338-2879,http://www.laloyolan.com,1 Loyola Marymount University Drive,Los Angeles,California,90045,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Anchor Audio,800-262-4671,http://www.anchoraudio.com,5931 Darwin Ct,Carlsbad,California,92008,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Guardian Auto Shield,800-938-0104,http://www.adorboo.com,,Cypress,California,90630,Automotive,Dealership IT + DMS integration + compliance,My IT · My Security · My Compliance · My Office · My Continuity,"My Compliance — Safeguards Rule (GLBA) program for auto dealers | My AI — service-advisor automation, inventory pricing AI, lead-scoring | Chat.AI — private AI for sales / service workflows | My SEO — local dealer SEO + review management | My AI Lead Gen — local auto-service lead gen from public signals"
JT STEEL INC,801-280-3520,,,Glendora,California,,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
